Phylum,Class,Order,Family,Genus,Species,OTU,CGH0116_C2D1,CGH0116_JX,CKH0135_JX,CWZ0121_JX,CWZ0121_PD,DGN16SxfsMAaA_12_117,DGN16SxfsMAaA_12_122,DGN16SxfsMAaA_13_114,DGN16SxfsMAaA_16_119,DGN16SxfsMAaA_17_112,DGN16SxfsMAaA_18_115,DGN16SxfsMCaB_19_109,DGN16SxfsMCaB_20_109,DGN16SxfsMCaB_21_109,DGN16SxfsMCaB_22_109,FMS0129_JX,FQT0113_C2D15,FQT0113_JX,FW0124_JX,GXJ0103_C6,GXJ0103_C8D15,GZL0140_JX,HAH0115_JX,HM0120_JX,HSR0114_JX,JFQ0138_JX,LGZ0123_JX,LJK0127_JX,LMS0134_JX,LWM0133_JX,PXX0136_JX,SJH0128_JX,SLM0122_JX,SZL0119_JX,TWH0126_JX,WHYD200513577_A,WHYD200513765_A,WHYD200513766_A,WHYD200513772_A,WHYD200513773_A,WHYD200513783_A,WHYD200513784_A,WHYD200513785_A,WHYD200513786_A,WHYD200513791_A,WHYD200513792_A,WHYD200513795_A,WHYD200513797_A,WHYD200513798_A,WHYD200513799_A,WHYD200513800_A,WHYD200513802_A,WHYD200513812_A,WHYD200513813_A,WHYD200513815_A,WHYD200513822_A,WHYD200716229_A,WHYD200716230_A,WHYD200716245_A,WHYD200716254_A,WY0132_JX,YGF0137_JX,YMS0125_JX,YZR0106_C2,YZR0106_C4,YZY0112_C2D15,ZJD0111_C4uiPD,ZJD0111_JX,ZXL0117_JX
Firmicutes,Clostridia,Oscillospirales,Ethanoligenenaceae,Acetanaerobacterium,uncultured_rumen_bacterium_g__Acetanaerobacterium,OTU1572,0,0,0,0,0,2,3,2,0,2,0,1,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,9,1,12,0,2,0,0,0,2,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,7,0
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Acetitomaculum,Firmicutes_bacterium_CAG_194_44_15,OTU3528,2,0,9,11,3,0,0,2,2,1,0,2,0,17,174,2,10,9,0,0,0,2,8,24,3,9,26,3,0,0,0,1,0,0,29,34,0,0,3,1,1,4,1,0,3,8,180,0,0,3,1804,0,0,0,0,0,2,5,0,2,9,0,1,0,64,1,0,5,2
Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,unclassified_g__Acidaminococcus,OTU6659,0,0,0,23,2,0,0,0,0,0,0,85,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,4,0,3655,0,24,0,0,0,0,0,0,0,0,16,0,0,0,12,0,0,0,0,0,0,991,714,0,0,0,770,0,0
Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,unclassified_g__Acidaminococcus,OTU1726,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,26,0,0,0,0,0,0
Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,uncultured_bacterium_g__Acidaminococcus,OTU859,0,11,0,0,0,0,0,0,0,0,0,0,0,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus_intestini_RyC-MR95,OTU2595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,352,0,0,0,0,0,0,0,0,0,0
Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus_fermentans_DSM_20731,OTU5315,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1140,27,0,0,0,736,0,0
Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,unclassified_g__Acidaminococcus,OTU5136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,2,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,unclassified_g__Acidaminococcus,OTU6099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,101,0,0,0,0,81,1,0
Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,unclassified_g__Acidaminococcus,OTU6658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,26,0,0,0,2598,371,0
