"OTUid","Taxon","WHYD200716229_A","ZXL0117_JX","LWM0133_JX","WHYD200513799_A","WHYD200513798_A","CGH0116_C2D1","JFQ0138_JX","SJH0128_JX","YZY0112_C2D15","HM0120_JX","YZR0106_C4","SLM0122_JX","HAH0115_JX","CWZ0121_PD","PXX0136_JX","LMS0134_JX","FMS0129_JX","LGZ0123_JX","WHYD200513772_A","WHYD200716254_A","WHYD200513822_A","WHYD200716230_A","WHYD200513577_A","DGN16SuooMAaA_3_115","WHYD200513786_A","WHYD200513795_A","DGN16SuooMAaA_2_113","WHYD200513812_A","DGN16SuooMAaA_1_115","DGN16SuooMAaA_1_112","DGN16SuooMAaA_2_115","WHYD200513802_A","DGN16SuooMAaA_7_115","DGN16SxfsMAaA_18_115","GXJ0103_C6","FW0124_JX","ZJD0111_C4uiPD","DGN16SxfsMAaA_12_122","YMS0125_JX","DGN16SxfsMCaB_20_109","DGN16SxfsMCaB_19_109","SZL0119_JX","GXJ0103_C8D15","DGN16SxfsMAaA_13_114","DGN16SuooMAaA_4_115","WHYD200513797_A","DGN16SuooMAaA_9_116","DGN16SuooMAaA_2_116","WHYD200716245_A","DGN16SuooMAaA_1_113","WHYD200513785_A","DGN16SuooMAaA_1_116","WHYD200513784_A","WHYD200513815_A","WHYD200513783_A","DGN16SuooMAaA_9_112","DGN16SuooMAaA_7_113","WHYD200513765_A","YGF0137_JX","ZJD0111_JX","FQT0113_JX","FQT0113_C2D15","WHYD200513791_A","DGN16SxfsMAaA_17_112","CGH0116_JX","TWH0126_JX","DGN16SxfsMCaB_21_109","WHYD200513792_A","DGN16SxfsMAaA_12_117","HSR0114_JX","CWZ0121_JX","GZL0140_JX","Rego015","Rego006","WHYD200513800_A","WHYD200513773_A","WY0132_JX","WHYD200513766_A","DGN16SuooMAaA_3_120","DGN16SxfsMAaA_16_119","Rego042","LJK0127_JX","Rego045","DGN16SuooMAaA_4_112","Rego023","Rego020","Rego025","Rego010","Rego083","DGN16SuooMAaA_8_115","WHYD20082037_A","Rego046","Rego071","WHYD20082062_A","CKH0135_JX","Rego061","DGN16SuooMAaA_5_116","DGN16SxfsMCaB_22_109","Rego019","Rego016","Rego069","Rego049","Rego030","Rego035","Rego032","Rego064","Rego054","Rego041","Rego063","YZR0106_C2","WHYD200513813_A"
"OTU1002","p__Firmicutes|c__Clostridia|o__Clostridia_UCG-014|f__norank_o__Clostridia_UCG-014|g__norank_f__norank_o__Clostridia_UCG-014|s__gut_metagenome_g__norank_f__norank_o__Clostridia_UCG-014",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,23,0,0,0,0,0,0,6,0,230,28,50,0,1805,0,0,0,0,113,173,0,0,0,0,0,0,0,0,0,28,69,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1014","p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum",1,0,8,74,63,0,20,226,30,2,0,0,117,1,40,0,0,2,0,1,8,22,1,5,31,0,0,4,0,4,0,95,0,0,9,0,30,8,26,44,0,156,4,13,0,0,0,2,19,0,19,0,1,0,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,8,0,0,0,0,298,62,160,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1028","p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__unclassified_f__Lachnospiraceae|s__unclassified_f__Lachnospiraceae",0,3,48,2,0,3,8,0,0,173,0,0,0,737,364,1,33,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,4,4,0,14,2,4,12,2,44,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2088,873,1,9,1,107,0,10,1,80,329,128,0,0,0,2,516,1,0,2,0,176,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1034","p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Ruminococcus|s__unclassified_g__Ruminococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1035","p__Synergistota|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus|s__unclassified_g__Cloacibacillus",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,285,0,400,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,496,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1050","p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__UCG-005|s__uncultured_organism_g__UCG-005",0,6,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,58,0,0,0,0,0,0,6,0,27,21,31,0,1,0,0,13,0,282,183,0,0,0,1,0,0,0,1,0,83,101,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1051","p__Firmicutes|c__Clostridia|o__Christensenellales|f__Christensenellaceae|g__Christensenellaceae_R-7_group|s__human_gut_metagenome_g__Christensenellaceae_R-7_group",0,4,66,0,0,4,0,1,0,1,0,0,0,0,0,1,0,457,0,0,0,0,290,1,19,0,0,0,0,0,0,56,0,84,60,1251,275,443,0,0,5366,0,427,107,0,0,0,0,0,1,0,2,0,290,96,0,0,1096,0,0,0,0,0,0,2,0,0,0,0,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1075","p__Firmicutes|c__Bacilli|o__RF39|f__norank_o__RF39|g__norank_f__norank_o__RF39|s__uncultured_bacterium_g__norank_f__norank_o__RF39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,401,231,0,0,99,0,0,0,0,79,1201,0,0,0,0,0,0,0,0,0,0,271,0,0,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1081","p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp._N6H1-15",0,0,0,0,0,0,0,0,1,509,0,0,0,10,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,8,0,0,0,0,0,179,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU11","p__Firmicutes|c__Bacilli|o__Erysipelotrichales|f__Erysipelatoclostridiaceae|g__Erysipelotrichaceae_UCG-003|s__unclassified_g__Erysipelotrichaceae_UCG-003",13,167,0,56,0,0,0,0,0,0,0,0,0,0,239,0,0,81,0,53,0,28,0,48,56,1,2,39,1,35,3,192,1,5,22,35,12,7,143,1,64,1,122,98,3,28,4,28,4,5,85,11,134,13,14,1,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
