Pathway level1,Pathway level2,Pathway level3,Description,WHYD200513786_A,DGN16SxfsMAaA_12_117,SLM0122_JX,DGN16SxfsMCaB_22_109,YGF0137_JX,DGN16SxfsMAaA_12_122,YMS0125_JX,HSR0114_JX,SZL0119_JX,WHYD200513765_A,WHYD200513800_A,WHYD200513773_A,JFQ0138_JX,CKH0135_JX,HM0120_JX,FW0124_JX,PXX0136_JX,LMS0134_JX,FMS0129_JX,LGZ0123_JX,DGN16SxfsMCaB_20_109,ZXL0117_JX,LJK0127_JX,DGN16SxfsMCaB_19_109,WY0132_JX,CGH0116_JX,LWM0133_JX,ZJD0111_JX,FQT0113_JX,CWZ0121_JX,DGN16SxfsMCaB_21_109,WHYD200513766_A
Metabolism,Global and overview maps,ko01100,Metabolic pathways,16977944.38,15286468.81,14679253.9,25077057.96,20292346.45,13426508.95,14802722.07,14225455.91,15655977.25,16332974.85,25176145.5,20416620.18,16455993.25,8700769.56,15920238.93,13774351.32,16946171.57,13272411.83,19615515.95,16842746.1,23680249.94,11695705.57,36186711.75,20359544.19,28918026.52,15559575.19,14613330.93,14801082.14,20278218.77,25952093.47,14279694.98,18548403.16
Metabolism,Global and overview maps,ko01110,Biosynthesis of secondary metabolites,8567618.69,7117072.21,7279195.05,10767953.61,9427250.06,6830410.08,7086372.17,6927927.43,7593461.76,8235211.09,11712736.58,9578779.71,7859166.53,3736443.01,7537346.25,6244463.95,8058010.59,6291861.16,9176123.6,8294033.54,11279311.16,5707363.91,15248171.47,9438474.06,12255086,7543332.39,7350087.47,6691384.73,9602455.4,11268505.35,6772057.66,9778667.3
Metabolism,Global and overview maps,ko01120,Microbial metabolism in diverse environments,4050231.47,3640127.03,3431115.53,6814959.94,4808422.3,3248096.68,3500243.03,3336800.48,3415225.6,3881521.84,6584456.31,4576703.04,3962885.62,2366951.11,3905817.69,3167326.84,3985391.36,3278212.63,4536432.76,3975173.87,5664936.77,2722338.17,10146791.21,5337658.72,7983908.36,3611310.37,3408271.61,3748746.48,4660879.45,6809560.51,3304178.84,4460147.52
Metabolism,Global and overview maps,ko01230,Biosynthesis of amino acids,4292546.66,3340577.39,3652911.19,4514309.32,4338417.14,3569666.18,3446776.59,3348144.91,3655201.49,4215875.25,5903855.29,4262556.92,3671278.92,1549955.23,3574156.45,2629764.4,3784036.1,2993406.56,4143141.86,4076536.65,5280616.38,2798748.83,5974685.17,4122663.47,4983810.56,3675023.33,3781950.26,3066633.31,4047077.67,4694734.61,3262531.62,5165766.34
Metabolism,Global and overview maps,ko01200,Carbon metabolism,2523228.19,2234009.51,2101644.73,3467038.12,2909727.03,2161569.58,2158834.52,2071497.77,2296580.56,2403899.36,3738139.88,2944107.6,2435068.32,1270377.08,2357545.47,2106296.95,2433189.29,1991157.41,2718619.82,2501329.45,3483849.93,1687699.39,5075597.17,3060226.98,4162004.51,2197826.33,2110948.57,2227520.54,3179506.82,3647363.18,2010129.44,2770599.17
Environmental Information Processing,Membrane transport,ko02010,ABC transporters,2325041.41,1741723.24,2015678.51,4462419.02,2224828.38,1607621.61,1786157.13,1591236.86,1156357,2433437.56,5218153.84,1620455.18,2409217.89,1463670.62,2286693.72,1394394.99,1980659.89,1791752.31,1978538.06,2001205.86,2864351.53,1415702.27,6637625.81,2934601.79,5302342.93,1908937.78,2113290.17,2135245.94,1941555.18,3783553.02,1624299.93,2422543.89
Genetic Information Processing,Translation,ko03010,Ribosome,2337919.92,1669844.18,1837770.98,2069493.5,2240569.19,2046209.97,1780072.82,1703007.22,2029304.13,2236994.13,2432739.68,2527042.43,1979569.86,763684.94,1711742.05,1933698.06,1997499.04,1506605.97,2117554.72,2184530.05,2539893.86,1423679.34,2713365.04,2159786.52,2188198.35,1895683.11,1941728.38,1364950.15,2670644.78,2195695.53,1612571.14,2743428.95
Environmental Information Processing,Signal transduction,ko02020,Two-component system,1535402.77,1186036.39,1144868.6,3896185.37,1391304.95,1252229.68,1140728.78,1169575.3,910603.71,1404076.52,2442938.37,1292810.34,1313268.12,1246339.14,1451873.66,981315.95,1585414.95,1295344.24,1346421.93,1445620.19,2001724.81,1038842.56,6154632.65,2589033.44,4367406.38,1246925.6,1285592.81,1432836.38,1359061.49,3393864.48,1272860.22,1432274.22
Metabolism,Nucleotide metabolism,ko00230,Purine metabolism,1450191.85,1238538.02,1242662.44,2157410.54,1483265.06,1161580.95,1226595.97,1177418.94,1392979.69,1386992.67,2122750.73,1777434.27,1412553.97,732254.39,1296072.09,1237719.11,1426802.2,1100414.45,1395189.84,1407946.82,1937620.45,986967.35,3045189.86,1704961.88,2445764.2,1277311.21,1266270.1,1227059.92,1822438.8,2100157.91,1206695.63,1581755.07
Cellular Processes,Cellular community - prokaryotes,ko02024,Quorum sensing,1325620.66,987847.21,1087650.8,1736999.09,1272737.69,1084615.47,974379.67,939327.62,787964.85,1355290.74,2249394.45,1018099.7,1208882.2,614812.09,1224543,1057537.9,1121973.67,944051.76,1183199.18,1209850.82,1567699.57,801997.79,2461166.32,1538770.1,2077559.65,1082088.07,1153649.05,1035739.1,1183740.03,1640933.56,894195.04,1359741.77
Metabolism,Carbohydrate metabolism,ko00520,Amino sugar and nucleotide sugar metabolism,1140155.33,1136093.95,1002693.96,1483213.28,1383049.55,845609.5,1035172.85,994355.88,951116.43,1129151.33,1828780.5,1234416.74,1162703.79,477337.33,1122497.49,888087.15,1132940.59,895047.01,1484235.69,1164998.44,1847876.85,793266.46,2198725.18,1246046.82,1902150.47,1139316.23,959200.38,1090401.22,1157873.4,1731271.12,975778.09,1192922.61
Metabolism,Nucleotide metabolism,ko00240,Pyrimidine metabolism,1231187.56,978690.72,995420.86,1512139.1,1153043.56,948660.75,1001058.12,933954.06,1059653.51,1203958.28,1429281.06,1393162.82,1184777.72,529936.86,990418.77,965483.47,1105990.1,860362.13,1081937.06,1160995.28,1481935.06,776113.45,2142380.28,1292534.09,1715960.49,1088342.75,997987.2,894975.28,1461970.84,1505456.98,879160.23,1326830.72
Metabolism,Carbohydrate metabolism,ko00010,Glycolysis / Gluconeogenesis,1042899.24,903431.86,862127.34,1403386.91,1082974.19,815888.96,861170.41,877724.99,943607.42,959766.51,1526431.5,1188519.04,987456.03,485128.58,924623.8,838886.04,973097.77,792638.84,996923.14,1013777.7,1475082.08,688204.46,1990857.51,1214970.8,1678646.68,886429.26,841955.19,914085.54,1278949.61,1417361.41,803841.77,1211776.34
Metabolism,Carbohydrate metabolism,ko00500,Starch and sucrose metabolism,1067559.62,813702.74,932312.58,1548810.79,1114140.48,690677.22,811128.6,822029.59,684689.94,1058199.57,1865503.27,853351.67,1031501.96,432870.22,888041.19,660671.07,993383.14,725662.48,1251904.75,1010966.2,1561136.63,654361.17,2138748.27,1035068.72,1760314.36,963883.01,976855.92,837784.93,939327.63,1545962.14,743771.4,1190338.45
Metabolism,Amino acid metabolism,ko00270,Cysteine and methionine metabolism,1094327.19,841680.49,897642.51,1214914.49,1201483.61,946508.33,879869.28,815984.6,985792.42,1067537.03,1425206.48,1048288.86,962457.1,445798.23,872245.42,695370.7,975310.3,757207.34,1089195.26,1039945.28,1279286.5,674077.28,1668992.84,1087202.53,1351250.38,917868.51,933001.34,778524.56,1115654.9,1268416.22,784498.78,1352095.83
Metabolism,Carbohydrate metabolism,ko00620,Pyruvate metabolism,971736.07,799531.92,790376.46,1426581.67,986970.03,852392.39,808653.8,747741.79,753020.13,941851.82,1254892.27,1030376.87,896137.81,512343.81,854804.51,848888.88,876991.67,749554.61,885987.93,934724.98,1185342.44,591096.51,2110291.18,1223882.23,1635665.12,816104.18,784666.68,793267.89,1106425.57,1385538.39,706864.82,1199031.23
Genetic Information Processing,Translation,ko00970,Aminoacyl-tRNA biosynthesis,1079417.15,775116.33,868926.09,961878.75,1057901.25,949558.5,825555.99,778398.23,904360.95,1048484.86,1229888.36,1105298.55,910383.94,359507.51,794829.28,901408.63,911695.66,697495.28,988240.36,1002843.82,1164087.77,645124.17,1249785.05,988347.74,1036909.37,871504.49,925969.63,661342.22,1170248.42,1009146,748508.03,1300123.7
Metabolism,Energy metabolism,ko00190,Oxidative phosphorylation,905866.67,805024.5,815614.68,1168549.75,870834.89,686170.69,815865.74,772836.61,782628.47,923753.01,1242239.77,1208341.06,960325.46,396382.56,880774.14,727304.13,906886.83,714860.23,901996.1,913045.4,1323480.08,651844,1664676.56,1035716.49,1367587.15,892103.04,746016.52,727656.56,1154064.6,1226222.46,734745.18,921561.5
Metabolism,Amino acid metabolism,ko00250,"Alanine, aspartate and glutamate metabolism",917497.18,822949.5,815563.31,1025816.98,873496.3,736011.84,818579.69,786185.19,813047.11,891422.12,1166898.86,1034386.03,856264.76,347500.32,884448.76,718661.93,868338.42,704692.34,897514.94,918729.73,1248517.12,654679.85,1407567.13,903683.34,1189042.15,861101.06,801677.81,731322.8,973319.96,1128507.11,778031.69,1038704.48
Metabolism,Amino acid metabolism,ko00260,"Glycine, serine and threonine metabolism",840833.94,742542.67,710158.09,1108547.48,1030230.36,689117.06,713992.53,709170.91,833119.03,781353.29,1240719.31,1043341.88,795037.86,388753.03,779715.55,655966.98,812336.76,658476.98,993638.21,819571.11,1173985.59,587084,1609290.35,1024401.08,1319111.11,736357.04,710595.42,728150.02,1051807.55,1189701.81,690908.91,889587.08
Metabolism,Energy metabolism,ko00720,Carbon fixation pathways in prokaryotes,826712.49,780782.73,676812.92,1009851.67,992285.1,762599.69,722086.15,690522.92,738801.35,775567.35,1071570.77,1148836.92,788272.2,398426.17,785185.94,745773.97,795881.98,668251.19,947893.73,837542.72,1113024.95,544387.09,1470232.35,997473.69,1222775.21,724552.79,655762.03,714502.01,1163194.42,1148529.36,679185.81,981162.39
Genetic Information Processing,Replication and repair,ko03440,Homologous recombination,897589.08,694227.39,738831.14,949862.87,891119.38,765809.14,719221.56,679233.59,782257.51,882969.92,1026157.18,1070645.23,819076.07,345590.37,714133.19,785095.09,816010.45,619255.35,854871.93,851208.83,1067955.15,564223.1,1298460.7,874640,1045661.46,775895.89,761727.2,611258.32,1055056.97,998932.49,663246.79,1040178.53
Metabolism,Carbohydrate metabolism,ko00052,Galactose metabolism,723847.02,693673.37,668729.16,1220182.2,979609.74,454165.61,636620.11,657665.53,507081.46,672854.38,1441542.28,783972.47,728198.14,353502.27,720942.69,392381.68,768536.54,561815.57,1154564.45,748179.79,1323171.44,504669.38,1811310.84,856593.72,1487399.79,745611.83,648636.75,754581.7,609016.56,1370388.21,657686.03,662904.15
Metabolism,Carbohydrate metabolism,ko00051,Fructose and mannose metabolism,571752.76,628475.11,545572.81,1312252.57,1045185,424912.02,522709.82,574358.63,595013.32,539366.83,1350860.99,837771.39,674484.31,407543.67,646041.56,456040.38,713708.49,529887.34,1147192.7,592408.76,1163683.23,443747.78,2037867.3,880118.37,1629542.53,601848.56,517922.13,724105.26,896498.26,1414223.13,574951.66,625499.38
Metabolism,Carbohydrate metabolism,ko00630,Glyoxylate and dicarboxylate metabolism,658395.55,640489.14,585741.12,1208231.64,956405.74,490985.11,617206.62,594717.91,643433.98,629106.18,1017730.97,930591.47,706300.17,434447.72,717006.88,475604.75,733063.3,559637.48,940164.58,669837.99,1025398.56,475854.64,1879578.49,958201.37,1443839.16,654146.81,543316.58,683583.06,905662.42,1288473.71,598096.35,691284.93
Metabolism,Glycan biosynthesis and metabolism,ko00550,Peptidoglycan biosynthesis,922186.99,624751.81,745224.69,862031.6,788870.27,789936.25,689577.14,638271.8,763528.95,920815.67,1076746.89,829676.85,801622.18,296427.4,649600.56,677201.36,762958.38,582727.93,756966.88,833264.27,973571.89,531182.48,1112380.42,795111.62,906650.19,760324.83,788045.68,538228.13,912679.88,859942.51,599450.37,1196512.22
