num sample rows,DGN16SxfsMCaB_20_109,DGN16SxfsMAaA_17_112,DGN16SxfsMAaA_12_122,WHYD200513783_A,DGN16SuooMAaA_7_113,DGN16SxfsMAaA_13_114,DGN16SxfsMAaA_18_115,GXJ0103_C6,GXJ0103_C8D15,DGN16SxfsMAaA_12_117,DGN16SxfsMAaA_16_119,DGN16SxfsMCaB_21_109,DGN16SxfsMCaB_22_109,YZR0106_C2,YZR0106_C4,ZJD0111_JX,ZJD0111_C4uiPD,YZY0112_C2D15,Rego006,WHYD200513792_A,DGN16SuooMAaA_3_120,Rego010,FQT0113_JX,FQT0113_C2D15,DGN16SuooMAaA_4_115,HSR0114_JX,HAH0115_JX,Rego015,Rego016,CGH0116_JX,CGH0116_C2D1,DGN16SuooMAaA_3_115,WHYD200513785_A,WHYD200513797_A,WHYD200513812_A,DGN16SuooMAaA_9_116,WHYD200716230_A,Rego019,ZXL0117_JX,Rego020,SZL0119_JX,DGN16SuooMAaA_8_115,WHYD200716245_A,Rego023,HM0120_JX,Rego025,CWZ0121_JX,CWZ0121_PD,SLM0122_JX,WHYD200513799_A,WHYD20082037_A,WHYD200716229_A,WHYD20082062_A,WHYD200716254_A,LGZ0123_JX,Rego030,FW0124_JX,Rego032,WHYD200513772_A,YMS0125_JX,Rego035,TWH0126_JX,Rego042,Rego041,LJK0127_JX,SJH0128_JX,Rego046,FMS0129_JX,Rego045,DGN16SuooMAaA_1_113,WHYD200513577_A,WY0132_JX,LWM0133_JX,LMS0134_JX,CKH0135_JX,Rego054,WHYD200513795_A,DGN16SuooMAaA_1_115,WHYD200513813_A,PXX0136_JX,Rego061,Rego064,YGF0137_JX,JFQ0138_JX,Rego063,WHYD200513798_A,DGN16SuooMAaA_2_115,WHYD200513822_A,WHYD200513800_A,Rego069,DGN16SuooMAaA_5_116,Rego049,DGN16SuooMAaA_1_112,DGN16SuooMAaA_2_116,Rego083,WHYD200513765_A,DGN16SuooMAaA_4_112,WHYD200513815_A,DGN16SuooMAaA_2_113,WHYD200513773_A,DGN16SuooMAaA_1_116,WHYD200513784_A,WHYD200513786_A,DGN16SuooMAaA_9_112,WHYD200513802_A,DGN16SuooMAaA_7_115,WHYD200513791_A,GZL0140_JX,Rego071,WHYD200513766_A,DGN16SxfsMCaB_19_109
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2.4687,1.9873,2.8536,3.0536,3.4367,3.1525,2.866,2.0692,3.5986,2.8806,3.1753,2.539,2.0579,1.4647,2.7302,2.2062,2.9949,2.8247,3.4124,2.6793,3.3564,3.5124,1.9922,2.4211,3.6877,3.6357,3.183,3.0726,2.9751,3.2917,3.2003,2.6853,3.23,3.205,3.2134,3.1388,3.0547,3.7508,2.859,3.5602,2.6434,3.0992,2.5198,3.4851,3.0561,3.4488,2.767,3.2119,2.3435,2.7347,3.3334,3.3401,3.0096,3.1933,3.6004,2.7298,3.0478,3.531,3.2692,3.075,3.3373,2.2123,2.6639,1.6784,1.8446,3.241,3.1027,2.5027,3.6192,3.4332,2.9159,2.8713,3.3685,3.3228,2.3356,3.382,1.7189,3.3382,1.5879,3.0609,3.4841,2.9913,3.0532,2.7478,3.0355,1.6615,3.7111,1.9925,2.9858,2.8547,3.6068,2.3545,3.5305,3.4464,3.5473,3.1086,3.6481,3.0271,3.5558,2.5828,3.1097,2.9521,3.5409,3.2719,3.4287,3.3061,2.6338,2.7168,3.3498,2.322,2.8733
200,2.6191,2.1194,3.0225,3.2676,3.6531,3.3848,3.0498,2.2535,3.8562,3.0906,3.3835,2.6943,2.1516,1.5052,2.8425,2.319,3.1557,2.9729,3.6562,2.8008,3.6032,3.7531,2.0726,2.5561,3.9287,3.8799,3.3602,3.288,3.1442,3.4972,3.3909,2.8763,3.4506,3.42,3.4112,3.3355,3.2032,4.0593,3.0427,3.8376,2.7627,3.3285,2.6326,3.7344,3.2297,3.6528,2.8969,3.3752,2.4839,2.9078,3.5559,3.5423,3.211,3.4114,3.8451,2.8877,3.2611,3.7968,3.4533,3.2583,3.5735,2.3319,2.8053,1.7906,1.9325,3.4457,3.2862,2.6416,3.8482,3.6463,3.1017,3.045,3.5866,3.5552,2.4705,3.621,1.8311,3.5438,1.6354,3.2213,3.7392,3.185,3.2178,2.889,3.2304,1.7423,3.9705,2.1266,3.1358,3.0558,3.8678,2.4657,3.7635,3.6308,3.8186,3.3117,3.9161,3.2244,3.8063,2.7086,3.3251,3.1152,3.7947,3.4583,3.6657,3.4992,2.8171,2.8343,3.5867,2.4451,3.0664
300,2.6717,2.1765,3.1187,3.3633,3.7596,3.483,3.12,2.3292,3.9653,3.1705,3.4732,2.7534,2.1952,1.52,2.8878,2.3742,3.2245,3.0433,3.7638,2.8525,3.7053,3.8641,2.1267,2.6259,4.0314,3.9971,3.4516,3.3731,3.2241,3.5781,3.4851,2.9455,3.5483,3.5129,3.4977,3.4331,3.2692,4.1906,3.1448,3.9634,2.8089,3.4453,2.6735,3.8506,3.298,3.7577,2.973,3.4456,2.5511,2.9825,3.6494,3.6439,3.2908,3.5024,3.9505,2.9612,3.3528,3.9149,3.557,3.3488,3.6869,2.3921,2.8621,1.8611,1.9861,3.5374,3.3683,2.702,3.9564,3.7384,3.1966,3.123,3.6883,3.6545,2.5317,3.7265,1.8773,3.6438,1.6575,3.2884,3.8555,3.268,3.2935,2.9502,3.3096,1.7789,4.0769,2.1752,3.2054,3.1393,4.0021,2.5274,3.8705,3.7121,3.944,3.4038,4.0264,3.3111,3.907,2.7439,3.4136,3.2018,3.9105,3.5457,3.7743,3.602,2.898,2.8776,3.6857,2.5019,3.1553
400,2.7105,2.216,3.1624,3.4242,3.8216,3.5448,3.1686,2.3833,4.0349,3.2082,3.5247,2.7867,2.2189,1.5382,2.9188,2.4013,3.2691,3.0764,3.8286,2.8782,3.7738,3.944,2.1585,2.6667,4.104,4.0617,3.503,3.4288,3.2708,3.6232,3.5343,2.9867,3.6111,3.5664,3.552,3.4837,3.3132,4.2686,3.2017,4.0363,2.8335,3.5077,2.6992,3.9157,3.3378,3.8126,2.9996,3.4879,2.5857,3.0307,3.7034,3.6996,3.335,3.566,4.0207,3.0074,3.4071,3.9897,3.6115,3.3968,3.7562,2.4159,2.8935,1.8943,2.0164,3.5988,3.4115,2.7372,4.0256,3.7856,3.2435,3.1688,3.7566,3.7173,2.5537,3.7898,1.9053,3.6953,1.665,3.3346,3.9247,3.3176,3.3349,2.9821,3.3684,1.8009,4.1513,2.213,3.2399,3.1893,4.0753,2.5593,3.9253,3.7623,4.013,3.4658,4.0865,3.3682,3.9671,2.7783,3.4706,3.2473,3.9861,3.601,3.8347,3.6544,2.9305,2.9044,3.7519,2.5406,3.2048
500,2.731,2.2439,3.1974,3.4668,3.8569,3.5851,3.1945,2.4208,4.0837,3.239,3.5613,2.8092,2.2329,1.5437,2.941,2.4242,3.2946,3.1008,3.8755,2.8996,3.8123,3.9865,2.1696,2.6854,4.1501,4.1009,3.5326,3.4658,3.2973,3.6526,3.5763,3.014,3.6506,3.6048,3.5818,3.5197,3.3334,4.3196,3.2312,4.0826,2.8459,3.5429,2.7229,3.9677,3.3696,3.8504,3.0307,3.5127,2.6074,3.0645,3.7381,3.7424,3.371,3.6081,4.0671,3.0409,3.4558,4.0372,3.646,3.4361,3.7952,2.4226,2.9204,1.9109,2.0363,3.6407,3.4416,2.7619,4.0703,3.8246,3.2764,3.2019,3.8009,3.7568,2.5768,3.8262,1.9256,3.7299,1.6734,3.3628,3.9736,3.3554,3.3574,3.0059,3.3991,1.8233,4.2032,2.2381,3.2605,3.2238,4.1223,2.584,3.9673,3.7951,4.0574,3.5066,4.1351,3.4146,4.0102,2.8038,3.4982,3.2736,4.0287,3.6391,3.8742,3.6889,2.9651,2.9197,3.7909,2.5619,3.242
600,2.7462,2.2585,3.221,3.4933,3.8901,3.6171,3.2189,2.4529,4.122,3.261,3.5887,2.8212,2.2431,1.5509,2.9535,2.4443,3.3178,3.1183,3.907,2.9158,3.8419,4.0197,2.1872,2.6983,4.1827,4.1316,3.5514,3.4902,3.3287,3.6763,3.6032,3.039,3.6751,3.6321,3.6103,3.5484,3.3479,4.3577,3.2557,4.1186,2.8614,3.5731,2.7361,3.9997,3.387,3.8757,3.0509,3.5353,2.6251,3.0912,3.7652,3.7679,3.4004,3.6394,4.1022,3.0626,3.4881,4.0711,3.6723,3.4603,3.8281,2.4389,2.9377,1.9235,2.0541,3.6708,3.4722,2.7886,4.1008,3.8523,3.3018,3.2265,3.8297,3.7851,2.5941,3.8606,1.9397,3.7589,1.677,3.385,4.0084,3.3833,3.3742,3.0258,3.4214,1.8392,4.241,2.2602,3.2806,3.2467,4.1578,2.5993,3.9984,3.8256,4.0935,3.5348,4.1696,3.4423,4.0461,2.82,3.5338,3.2983,4.0627,3.665,3.9104,3.7156,2.9919,2.9287,3.8143,2.5795,3.268
700,2.7616,2.276,3.2413,3.5158,3.9117,3.6456,3.2386,2.465,4.1496,3.2835,3.6074,2.8345,2.2517,1.5555,2.9584,2.4603,3.3327,3.1288,3.9337,2.9279,3.8633,4.0485,2.1965,2.7127,4.2077,4.1555,3.5694,3.5046,3.3506,3.6941,3.6238,3.0601,3.6984,3.6533,3.6293,3.5708,3.365,4.3881,3.2742,4.1471,2.8747,3.5923,2.7478,4.0261,3.4002,3.8939,3.0648,3.5472,2.636,3.1171,3.7852,3.7874,3.4204,3.6632,4.1266,3.0741,3.512,4.1001,3.6952,3.4839,3.8495,2.4519,2.9482,1.9335,2.0667,3.6943,3.4964,2.8125,4.124,3.8763,3.3247,3.2431,3.8554,3.8026,2.6034,3.8828,1.9494,3.7809,1.6849,3.4009,4.0376,3.4062,3.3922,3.0379,3.4394,1.8457,4.2672,2.2757,3.2939,3.2606,4.1884,2.6133,4.0235,3.843,4.1234,3.5598,4.1992,3.4641,4.07,2.8322,3.5546,3.3196,4.0887,3.6882,3.9397,3.738,3.0109,2.934,3.8349,2.5936,3.2844
800,2.7708,2.2929,3.2568,3.5312,3.9276,3.6663,3.256,2.4828,4.1716,3.2972,3.6257,2.8423,2.2593,1.5564,2.9656,2.4717,3.34,3.1404,3.9516,2.9386,3.876,4.0715,2.2062,2.72,4.2284,4.1787,3.588,3.5227,3.3678,3.709,3.6418,3.077,3.7157,3.6661,3.6465,3.5886,3.3796,4.4134,3.2897,4.1669,2.8782,3.6149,2.7524,4.0472,3.4093,3.9106,3.0806,3.5586,2.6484,3.1332,3.8022,3.806,3.4332,3.6786,4.1431,3.0893,3.5299,4.1239,3.7085,3.4983,3.8754,2.4628,2.9616,1.9441,2.0729,3.7105,3.5064,2.8255,4.1427,3.892,3.3478,3.2537,3.8742,3.819,2.615,3.9034,1.958,3.7962,1.6901,3.4131,4.0579,3.4283,3.4057,3.049,3.4587,1.8492,4.285,2.2842,3.3045,3.2764,4.21,2.6234,4.0484,3.8586,4.1457,3.582,4.2205,3.4798,4.0919,2.8403,3.5741,3.333,4.1099,3.7037,3.9559,3.7562,3.0252,2.9412,3.8509,2.6062,3.3001
900,2.783,2.3004,3.2652,3.5423,3.9434,3.6819,3.2682,2.4973,4.1889,3.3125,3.6396,2.8532,2.2628,1.5594,2.9725,2.4769,3.3512,3.1481,3.9688,2.946,3.8893,4.0876,2.2154,2.725,4.2478,4.1972,3.5979,3.5376,3.3799,3.7275,3.6558,3.0924,3.731,3.6837,3.6617,3.6014,3.3886,4.4318,3.3044,4.1846,2.8861,3.6299,2.7583,4.0654,3.4188,3.9262,3.0909,3.5717,2.6575,3.1452,3.8168,3.819,3.4441,3.6937,4.1627,3.0978,3.5414,4.1389,3.7199,3.5079,3.8944,2.4731,2.9752,1.9501,2.0803,3.7299,3.5191,2.8329,4.1582,3.9053,3.3651,3.2622,3.8939,3.836,2.6256,3.9218,1.9635,3.8078,1.6945,3.4234,4.0753,3.4427,3.4162,3.0577,3.4723,1.8575,4.3034,2.2961,3.3141,3.2907,4.2249,2.6312,4.0645,3.8724,4.1642,3.5976,4.2396,3.4971,4.1054,2.8483,3.5852,3.3469,4.1281,3.7173,3.9751,3.7709,3.0371,2.9473,3.8659,2.6137,3.3126
