"Samples","sobs","shannon","shannon_lci","shannon_hci","simpson","simpson_lci","simpson_hci","ace","ace_lci","ace_hci","chao","chao_lci","chao_hci","coverage"
"WHYD200513577_A",616,3.571825,3.553723,3.589927,0.102844,0.101035,0.104654,758.259621,718.355918,813.719879,780.130435,723.816212,865.858524,0.997256
"WHYD200513799_A",523,3.313049,3.295511,3.330586,0.12068,0.118457,0.122903,692.724751,644.571639,759.950752,733.849057,659.699238,848.219989,0.997201
"DGN16SxfsMCaB_22_109",268,2.385786,2.369895,2.401676,0.207097,0.204695,0.2095,435.791164,392.719651,493.737278,395.5,339.739129,494.602277,0.998403
"LMS0134_JX",601,4.076973,4.058725,4.09522,0.0511,0.049906,0.052293,736.657228,698.192425,790.344833,742.133333,693.393726,816.584094,0.996354
"CWZ0121_JX",418,3.237995,3.222043,3.253948,0.099424,0.097725,0.101123,646.45006,595.250497,712.438836,611.75,537.896122,731.096553,0.997545
"WHYD200513822_A",419,2.421033,2.400808,2.441257,0.276289,0.272175,0.280404,701.129085,640.907489,777.693711,568.692308,515.843524,650.381366,0.996926
"WHYD200513784_A",525,3.529599,3.513241,3.545957,0.076832,0.075655,0.07801,675.075944,631.618346,736.246844,701.416667,639.597043,796.585021,0.997205
"YZR0106_C4",272,2.637705,2.621169,2.654241,0.179378,0.176428,0.182329,411.552634,372.709142,465.378053,374.777778,328.207851,459.932315,0.998447
"GZL0140_JX",204,3.012696,3.000575,3.024817,0.085406,0.08442,0.086392,242.267175,225.173074,273.162215,233.129032,217.665715,266.089729,0.999197
"FW0124_JX",625,3.530286,3.510369,3.550203,0.097489,0.095711,0.099267,813.960501,764.559589,880.848211,821.463415,758.590903,913.925911,0.995837
"FQT0113_C2D15",318,2.938495,2.920708,2.956281,0.159538,0.156664,0.162411,407.264078,374.88014,458.085374,419.25,374.925838,498.086282,0.998238
"DGN16SuooMAaA_8_115",559,3.824271,3.807559,3.840984,0.097467,0.095451,0.099483,675.406233,639.735894,726.836269,731.222222,666.388601,835.197785,0.997947
"GXJ0103_C6",735,2.740372,2.716256,2.764488,0.30431,0.299589,0.309032,986.95372,927.747826,1064.345747,956.12931,892.20491,1046.047358,0.995223
