ID,HM0120_JX,Rego054,DGN16SuooMAaA_4_115,DGN16SuooMAaA_4_112,YZR0106_C4,DGN16SuooMAaA_3_115,YZR0106_C2,WHYD200513795_A,Rego042,WHYD200513797_A,WHYD200513577_A,YMS0125_JX,Rego049,Rego045,Rego046,Rego041,WY0132_JX,WHYD200513785_A,DGN16SuooMAaA_8_115,DGN16SuooMAaA_1_115,DGN16SuooMAaA_1_116,CGH0116_JX,DGN16SuooMAaA_1_112,DGN16SuooMAaA_1_113,SLM0122_JX,LGZ0123_JX,WHYD20082062_A,TWH0126_JX,LMS0134_JX,Rego071,CGH0116_C2D1,DGN16SxfsMCaB_20_109,WHYD200513798_A,WHYD200716230_A,Rego023,WHYD200513815_A,Rego064,Rego063,Rego061,WHYD200513799_A,Rego069,DGN16SuooMAaA_2_113,HAH0115_JX,CWZ0121_PD,JFQ0138_JX,WHYD200513786_A,WHYD200513822_A,CKH0135_JX,WHYD200513784_A,Rego010,Rego016,Rego015,Rego019,WHYD200716254_A,WHYD200513765_A,FW0124_JX,DGN16SuooMAaA_9_112,ZJD0111_C4uiPD,WHYD200513791_A,DGN16SxfsMCaB_22_109,ZXL0117_JX,YGF0137_JX,WHYD200513792_A,DGN16SxfsMAaA_12_117,WHYD200513772_A,DGN16SxfsMAaA_16_119,DGN16SuooMAaA_2_116,GZL0140_JX,LWM0133_JX,LJK0127_JX,SJH0128_JX,DGN16SuooMAaA_3_120,Rego083,SZL0119_JX,WHYD200513783_A,WHYD200716245_A,DGN16SxfsMAaA_18_115,ZJD0111_JX,DGN16SxfsMAaA_12_122,FQT0113_JX,WHYD200513800_A,Rego030,DGN16SuooMAaA_2_115,Rego032,CWZ0121_JX,GXJ0103_C8D15,WHYD200513802_A,WHYD200716229_A,Rego006,DGN16SxfsMAaA_13_114,DGN16SuooMAaA_7_113,DGN16SuooMAaA_7_115,PXX0136_JX,DGN16SxfsMCaB_21_109,DGN16SxfsMCaB_19_109,WHYD200513766_A,WHYD200513773_A,WHYD200513813_A,Rego020,DGN16SuooMAaA_5_116,Rego025,HSR0114_JX,GXJ0103_C6,DGN16SuooMAaA_9_116,FQT0113_C2D15,WHYD20082037_A,DGN16SxfsMAaA_17_112,Rego035,YZY0112_C2D15,WHYD200513812_A,FMS0129_JX
OTU2827,8,3435,2819,4425,17,2327,2,10,5259,8,69,0,13569,3218,9322,2834,1,5,17912,5853,14816,0,2868,3567,0,12,16515,0,14,1336,0,1,16,58,4243,13,5135,7361,9247,24,6557,3826,13,4,1,2,451,1,6,5355,10597,9595,3767,320,2,1,4667,73,1,26,6,0,6,0,31,238,4635,0,1,0,11,11398,6758,0,1,8,0,3,0,15,57,6071,2962,7259,0,0,9,461,4395,0,4101,8674,8,1,2,6,32,21,6954,4831,2041,0,0,3192,165,9165,4,8300,13,2,7
OTU4998,9346,0,7,0,1,72,1,1,0,502,66,9140,0,2,0,0,4317,3180,0,0,70,6355,77,4,16429,2824,0,24,6957,0,4526,3,2,7531,0,61,0,0,0,16768,0,8,5928,5410,0,10,0,0,1,0,0,0,0,9014,203,733,9,10249,6,1,9074,3661,5966,13874,4033,8783,65,0,370,48,1479,0,0,4645,1312,21,479,24379,408,10,113,0,4,0,2482,1402,85,2422,0,743,0,1,1,19845,2799,84,2790,1,0,0,0,1522,361,4,0,0,0,0,11736,5610,8387
OTU3589,0,8983,3527,1203,0,19644,0,0,16479,0,0,0,1,373,5017,23758,0,0,554,2392,1483,0,168,2481,0,0,2890,0,0,1061,0,1,53,0,2886,0,13829,6920,439,0,2175,5557,28,1,0,0,110,0,0,6383,5341,10764,1486,0,0,0,739,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1137,5268,0,0,0,0,0,0,0,0,654,6071,2900,0,0,0,0,5941,0,540,4435,0,0,0,0,1,0,1318,2466,2920,0,0,7973,0,1021,0,2341,2,0,0
OTU1541,5563,0,23,0,749,738,2,3,0,10845,8106,4623,0,2,0,0,5,11151,0,1,59,6216,176,6,453,2277,0,2,356,0,3308,846,543,6655,0,12400,0,0,0,3928,0,4,932,2999,1312,6249,1155,0,1611,0,3,0,0,6968,10141,161,7,157,548,5,774,0,12840,1368,4873,257,216,0,1493,278,3305,1,0,89,2963,76,3918,177,455,1,2,0,16,0,1263,1004,2214,2066,0,343,2,2,3053,0,534,1517,1,0,0,3,0,1607,542,18,0,0,125,0,7829,3570,549
OTU6667,6,0,1,0,2298,2,11512,2589,0,1,215,63,0,2,0,0,13206,16,0,0,3,86,6,0,18,207,0,2684,508,0,1,34,57,312,0,7,0,0,0,2,0,0,1802,5062,875,0,48,5183,6,0,0,0,0,141,31,31,1,1751,72,18142,6,880,1,14,66,12,1,7093,4,25487,16,7,0,0,0,1,15,1527,37,782,56,0,1,0,12989,379,1530,96,0,89,1,0,1783,3,8576,3,316,14427,0,1,0,32,90,0,2293,0,135,0,0,23,102
OTU2029,0,0,0,0,0,0,1,34300,0,0,0,108,0,0,0,0,877,1,0,0,3,4,0,1,759,1213,0,1,11,0,0,1,142,15,0,0,0,0,0,1676,0,3,0,0,6278,150,68,769,9596,0,0,0,0,1310,2,1260,0,1265,0,1,0,1,0,1,94,1,5,6616,0,1,4,0,0,268,2,410,1,332,0,28242,8,0,1,0,0,0,384,1676,0,7,0,0,4702,853,485,4,9771,18087,0,0,0,29,3,0,40,0,0,0,0,31,176
OTU5294,0,0,63,0,0,2563,0,1,0,1,0,0,0,4,0,0,1,0,0,2,107,0,404,29,1,0,0,2,1,0,0,0,33243,0,0,1860,0,0,0,0,0,5,0,0,0,2,22653,0,2,0,0,0,0,0,1825,6,16,6,0,0,11571,1,2,2,0,0,111,1,5131,1,0,0,0,0,10419,0,1236,8,257,0,532,0,8,0,0,560,0,0,0,205,13,4,0,0,0,18,0,0,0,0,0,0,25902,16,0,0,0,0,0,0,0
OTU2394,68,785,724,667,1299,1109,5,16,6754,53,0,0,16077,836,4194,627,0,46,422,2112,4881,12,2561,1439,59,2,825,0,46,2068,100,72,1542,11,1456,0,1265,1387,1692,73,3748,1054,834,2,252,0,7201,12,27,1568,3293,2938,619,1097,3,0,4345,4,0,27,17,0,0,2,35,2,2666,1,0,0,20,354,804,0,11,22,0,3,0,724,6,4419,626,390,0,0,0,2215,2266,0,3563,214,9,27,0,0,12,1,550,751,4185,0,0,4925,67,736,0,2640,102,2,2
OTU3594,50,2369,666,59,320,199,6901,1221,1110,3,11,1,3941,4051,542,1514,55,1,304,657,153,0,3307,3672,136,46,1538,1,247,2844,57,24,41,204,3396,0,2529,1340,1449,260,100,1662,889,58,3,0,407,3010,0,1072,349,965,4109,866,0,0,3601,1,0,1964,22,0,0,17,397,45,3173,208,1,0,26,1153,426,0,7,1,3,38,1,1215,0,286,1074,701,0,0,0,4732,179,4,4984,557,1304,20,1,6,627,25,617,719,827,0,4,467,138,1990,13,887,120,3,168
OTU3018,1140,0,4,0,0,60,1,54,0,2536,37,611,0,1,0,0,1766,1027,0,1,40,3040,91,0,266,832,0,53,0,0,499,0,26,1978,0,18,0,0,0,247,0,4,8,924,0,282,24,14,37,0,0,0,0,496,86,401,7,570,19911,0,116,374,5735,0,2961,0,28,2114,216,135,10217,0,0,1,72,153,9,0,5,0,322,0,8,0,4301,320,1042,1025,0,148,1,0,4432,1699,401,85,265,1129,0,2,0,1515,13,8,33,0,0,0,2076,2103,295
OTU5579,0,140,771,2536,0,6462,0,0,15,0,0,0,2,1524,3,10,0,0,356,4916,1757,0,553,1953,0,0,1036,0,0,9682,0,0,34,0,119,0,3459,8284,819,0,631,4551,0,0,0,0,98,0,0,7,1913,136,0,0,0,0,5083,0,0,0,0,0,0,0,0,0,889,0,0,0,0,312,1379,0,0,0,0,0,0,0,2,422,1893,235,0,0,0,2,631,0,2203,1006,0,0,0,0,0,0,26,4722,4548,0,0,4635,0,270,0,171,0,0,0
OTU3012,136,0,5,0,0,4,0,0,0,454,18,0,0,0,0,0,0,670,0,0,3,55,6,1,0,0,0,6,1051,0,44,19709,0,4992,0,1,0,0,0,5,0,2,2,117,0,111,2,0,40,0,0,0,0,443,21,297,0,0,6,0,156,120,5,354,1467,563,2,0,60,0,24,0,0,0,128,7,62,0,1111,0,532,0,1,0,132,374,563,895,0,442,0,1,0,0,7,9,8,0,0,0,0,169,76,0,0,0,27032,0,1,360,1462
OTU5966,429,0,2,0,1980,6,25541,64,0,508,9,119,0,1,0,0,860,177,0,0,1,201,14,0,40,275,0,3,273,0,98,0,6,1114,0,0,0,0,0,209,0,0,16,433,1098,60,66,132,427,0,0,0,0,170,7,558,0,160,1725,117,261,334,1486,652,327,225,5,8857,11,3,416,0,0,622,56,461,18,1390,22,1808,196,0,0,0,595,155,46,645,0,102,0,0,1113,333,122,2,47,0,0,0,0,180,24,1,86,0,1764,0,1265,863,484
OTU3771,0,2239,1773,4325,0,127,0,0,2556,1,0,0,720,2447,320,858,0,1,619,4921,40,0,616,4285,0,0,1174,0,0,1409,0,0,0,0,553,0,1983,733,261,0,327,1893,0,0,0,0,2,0,1,1640,735,943,2835,0,0,0,3834,0,0,0,0,0,0,0,0,0,75,0,0,0,0,2824,629,0,1,0,0,0,0,0,1,514,1285,577,0,0,0,0,591,0,3674,1068,0,0,0,0,0,0,162,1125,750,0,0,494,0,2185,0,1276,0,0,0
OTU5345,1239,0,1,0,5771,8,0,1,0,58,2,1164,0,2,0,0,1982,41,0,1,17,323,2,3,99,127,0,1,364,0,95,0,56,3401,0,0,0,0,0,769,1,0,0,504,11031,17,78,0,301,0,0,0,0,347,9,237,2,4,141,1,195,307,3657,1214,623,1703,12,5802,15,0,178,0,0,772,84,1080,118,0,71,2351,39,0,0,0,273,83,35,480,0,55,0,0,4100,1663,74,5,3,0,0,0,0,193,94,0,38,0,0,0,1808,242,902
OTU2594,0,0,80,0,0,3,0,1,0,0,2,0,0,3,0,0,0,1,0,0,2,0,8,1,0,0,0,0,0,0,0,0,6276,0,1,83,21,0,0,0,0,0,0,0,0,0,1044,0,0,67,0,0,0,0,10,4,0,2196,5054,0,0,4781,0,0,0,0,2,0,360,51,40,0,0,7328,0,6819,22,1561,194,1443,0,0,1,0,1,562,0,0,0,243,1,0,0,0,7,0,0,0,0,0,0,0,499,0,16725,0,0,0,0,0,0
OTU3574,1,536,1040,2442,0,694,1,1,154,0,3,0,601,66,391,39,3,0,2533,698,498,0,4120,396,0,1,3679,0,51,446,0,1,0,0,566,0,472,648,2396,1,685,452,0,7,0,0,5,0,1,1218,1768,614,1137,8,0,0,488,0,1,1,1,1,0,10,0,0,2970,0,0,0,0,1099,873,0,0,2,0,0,0,4,11,113,2076,1252,1,0,0,2,333,0,324,3614,1,0,0,0,5,2,4211,1841,1464,0,0,1533,0,2492,3,1081,6,0,0
OTU4184,1,309,211,148,0,2433,0,1,697,0,1,0,3382,1743,709,1,0,0,248,204,227,0,4001,868,0,0,5508,0,0,70,0,0,0,0,401,0,202,234,801,0,121,409,1,0,0,0,2,1,0,506,1644,684,312,0,0,0,1116,0,0,0,0,0,0,0,0,0,4323,0,0,0,0,264,1282,0,0,0,0,0,0,0,0,303,718,798,0,0,0,1,191,0,22,3060,0,0,0,0,0,1,236,162,2344,0,0,7895,0,4385,0,403,0,0,0
OTU5774,0,1453,0,17,0,101,0,0,20,0,0,0,221,250,100,4,0,0,43,243,174,0,31,3,0,0,19,0,0,2457,0,1,0,0,3142,0,361,3422,28,0,14893,167,0,0,0,0,0,0,0,207,550,65,5,0,0,0,285,0,0,0,0,0,0,0,0,0,163,0,0,0,0,7,107,0,0,0,0,0,0,0,0,16706,51,522,0,0,0,0,31,0,73,15,0,0,0,0,0,0,1540,478,137,0,0,199,0,37,0,5174,0,0,0
OTU578,2,83,2231,1070,11,62,33,2109,266,5,4,0,107,463,590,295,5,1,679,1309,625,0,3989,2517,10,10,553,0,67,15,7,20,15,622,29,1,503,118,397,103,334,1664,55,5,1,0,155,300,7,596,259,121,152,766,5,0,2343,1,0,69,18,0,0,5,982,35,3717,9,0,0,20,2743,481,0,2,11,0,0,0,596,12,308,2301,102,0,0,0,2608,194,0,3707,176,441,2,1,4,343,40,287,3430,13,0,0,1059,15,604,4,168,30,1,48
OTU5508,2,390,1662,594,3,1494,0,4,1248,1,35,0,1224,802,1264,510,0,1,1881,1104,2500,1,1102,2729,1,0,2910,0,0,156,0,0,21,28,771,1,554,636,379,15,530,1487,0,0,0,0,203,0,2,897,1398,348,249,151,0,2,1449,2,0,5,0,0,8,0,9,31,2096,0,0,0,2,927,1062,0,1,8,0,0,0,3,30,339,1828,717,0,0,1,204,429,0,848,1799,3,0,0,6,19,2,321,1770,690,0,0,1538,23,3665,0,431,4,0,1
OTU1360,0,0,15,0,0,34,0,0,0,1641,54,77,0,0,0,0,10,811,0,1,7,1618,32,0,185,1235,0,0,114,0,6837,10,100,1,0,158,0,0,0,14,0,3,6,3419,0,662,133,0,6184,0,0,0,0,127,186,5,4,5,115,0,676,22,0,0,909,231,18,275,8,0,263,0,0,5297,243,96,0,729,48,0,0,0,2,0,2854,0,34,216,0,4,0,0,87,4408,3,11,1111,0,0,0,0,13,41,3,0,0,61,0,0,4921,0
OTU1548,0,0,37,0,0,554,0,0,0,191,49,342,0,1,0,0,1,508,0,1,31,847,371,12,272,823,0,0,95,0,2503,458,19,143,0,740,0,0,0,27,0,9,3133,0,241,2851,25,0,1917,0,0,0,0,1385,2198,16,2,49,116,0,1130,0,7,87,1015,29,60,0,3372,422,248,0,0,87,429,620,909,68,225,0,0,1,4,0,2,736,511,4556,0,128,6,1,651,1340,39,461,1,1,0,0,0,154,565,28,5101,0,59,0,426,69,484
OTU642,0,0,3,0,0,146,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,1262,43,12,0,0,0,0,225,0,0,0,1257,0,0,0,3,0,0,0,0,0,550,7,0,0,212,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,97,396,0,0,0,6137,0,9300,0,6583,0,0,0,1,0,10,4917,0,0,0,7454,1,0,0,0,0,1,0,53,0,0,0,76,3046,1,0,0,0,0,0,0,8
